epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,322.423,1.67083,1.48601,1.29568,0.4759,0.65363,0.52602,0.30528,1.4588,1.185,1.27708,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211,0.00999633,0.00333211
2,597.596,1.59359,1.255,1.24451,0.47212,0.64209,0.5315,0.30645,1.45789,1.16208,1.26706,0.0199914,0.00666382,0.0199914,0.00666382,0.0199914,0.00666382,0.0199914,0.00666382
3,866.081,1.61587,1.27956,1.25244,0.45059,0.59191,0.50194,0.27961,1.52038,1.22653,1.29964,0.029967,0.00998901,0.029967,0.00998901,0.029967,0.00998901,0.029967,0.00998901
4,1120.82,1.63339,1.30679,1.26145,0.47117,0.6149,0.51775,0.29157,1.48775,1.19194,1.2862,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1377.03,1.62635,1.29413,1.25805,0.45975,0.63981,0.52266,0.29518,1.48275,1.17069,1.27774,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1631.62,1.62185,1.2846,1.25396,0.46788,0.65112,0.52878,0.30392,1.46732,1.13407,1.27349,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1885.45,1.61468,1.27164,1.2489,0.4673,0.66819,0.52999,0.30705,1.44768,1.11827,1.26125,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2139.01,1.60787,1.25894,1.24577,0.49314,0.66897,0.54403,0.31504,1.43585,1.09844,1.25182,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2392.9,1.60102,1.24818,1.2404,0.48281,0.62967,0.54326,0.31916,1.42449,1.08343,1.24308,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,2646.35,1.60023,1.24269,1.23777,0.48366,0.68039,0.55188,0.3246,1.41269,1.06929,1.23479,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2899.92,1.59463,1.24007,1.23769,0.48485,0.67759,0.5525,0.32815,1.41095,1.05504,1.23291,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,3153.36,1.59226,1.23119,1.23524,0.4753,0.68461,0.55406,0.33078,1.40919,1.04865,1.23405,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,3407.02,1.59184,1.22668,1.23228,0.47733,0.67445,0.55626,0.33122,1.40291,1.0427,1.23012,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,3660.54,1.58759,1.22135,1.23122,0.4819,0.6834,0.5581,0.33221,1.40237,1.03959,1.22933,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,3914.08,1.5817,1.21333,1.22717,0.47964,0.69072,0.55797,0.33228,1.39964,1.03513,1.22888,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,4167.82,1.58092,1.20749,1.22538,0.48179,0.68561,0.5594,0.33356,1.39701,1.03194,1.22643,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,4421.44,1.57279,1.20282,1.22291,0.48558,0.69058,0.56103,0.33526,1.39663,1.03132,1.22606,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,4675.05,1.57277,1.20232,1.22242,0.49195,0.69123,0.56303,0.33652,1.39725,1.03072,1.22628,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,4928.31,1.56968,1.19782,1.22167,0.49392,0.69178,0.56382,0.33726,1.39583,1.02837,1.22549,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,5182.03,1.57028,1.19039,1.21834,0.4926,0.69268,0.56449,0.33822,1.39474,1.02478,1.22512,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,5435.64,1.56597,1.18649,1.21753,0.49275,0.69448,0.56539,0.33918,1.39424,1.02104,1.22463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,5689.38,1.56656,1.18395,1.21773,0.49357,0.69555,0.56623,0.33974,1.39319,1.01896,1.22387,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,5942.95,1.56038,1.17873,1.21611,0.49312,0.69491,0.56663,0.33986,1.39294,1.01658,1.2232,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,6196.79,1.55983,1.17428,1.212,0.49362,0.69552,0.56734,0.34086,1.39168,1.01499,1.22183,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,6450.51,1.55673,1.16907,1.21213,0.49493,0.69461,0.56783,0.34127,1.39096,1.01386,1.22124,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,6704.16,1.55709,1.16667,1.21079,0.49744,0.6939,0.56897,0.34192,1.38998,1.01296,1.22082,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,6957.87,1.55019,1.15894,1.20876,0.49911,0.69427,0.56907,0.34212,1.38844,1.01221,1.21912,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,7211.78,1.55064,1.15813,1.20807,0.49822,0.69523,0.56929,0.343,1.38791,1.01072,1.21889,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,7465.43,1.54912,1.1554,1.20846,0.49643,0.69902,0.57037,0.34347,1.38733,1.00914,1.21885,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,7718.9,1.54419,1.15042,1.20444,0.4983,0.69634,0.57093,0.34422,1.38682,1.0082,1.21827,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,7972.63,1.54396,1.14793,1.20482,0.49735,0.69423,0.57203,0.34557,1.38572,1.00668,1.21707,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,8226.22,1.54058,1.14355,1.20434,0.49854,0.69537,0.57233,0.34633,1.38416,1.00437,1.21598,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,8480.15,1.53592,1.13861,1.2002,0.50038,0.69519,0.5729,0.34694,1.38251,1.00145,1.21501,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,8733.77,1.5365,1.13415,1.19876,0.5013,0.69749,0.5736,0.34804,1.38118,0.99801,1.21409,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,8987.3,1.53419,1.13486,1.1983,0.5039,0.70003,0.57435,0.34888,1.37915,0.99521,1.21294,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,9241.04,1.52561,1.12361,1.19504,0.50311,0.70147,0.57392,0.3491,1.37781,0.99364,1.21202,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,9494.74,1.52644,1.12164,1.19367,0.50349,0.706,0.57545,0.3499,1.37638,0.99179,1.21106,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,9748.02,1.52933,1.12223,1.19432,0.50694,0.70279,0.57516,0.35028,1.37547,0.9898,1.21067,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,10001.7,1.52349,1.11427,1.19183,0.50523,0.705,0.576,0.35072,1.37385,0.98704,1.2095,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,10255.2,1.51889,1.10895,1.19035,0.50835,0.70242,0.57669,0.35118,1.37277,0.98416,1.20854,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,10508.7,1.51564,1.1042,1.18893,0.50874,0.70248,0.57685,0.35179,1.3716,0.98253,1.20772,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,10762.2,1.51701,1.1038,1.18827,0.50837,0.70373,0.57751,0.35266,1.37066,0.98029,1.2071,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,11015.9,1.51179,1.09612,1.18447,0.51054,0.70413,0.57867,0.35324,1.36985,0.97841,1.20581,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,11269.5,1.51208,1.09375,1.18467,0.51016,0.70587,0.57966,0.35398,1.36829,0.97628,1.20443,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,11523,1.50324,1.08748,1.17932,0.51386,0.707,0.58007,0.35446,1.36794,0.97406,1.20404,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,11776.6,1.50476,1.08519,1.18123,0.51524,0.7122,0.58083,0.35515,1.36694,0.97175,1.20307,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,12030.2,1.4975,1.0787,1.17885,0.5147,0.71084,0.5809,0.35577,1.36526,0.96923,1.2018,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,12284,1.49739,1.07763,1.17822,0.51422,0.71454,0.58144,0.35715,1.36439,0.96706,1.2009,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,12537.2,1.49328,1.07109,1.17467,0.5145,0.71642,0.58198,0.358,1.36304,0.96518,1.19957,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,12790.8,1.49165,1.06727,1.17477,0.51556,0.71591,0.58297,0.35907,1.3611,0.96245,1.19811,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,13044.1,1.49002,1.06315,1.17278,0.5189,0.71436,0.58275,0.35904,1.35998,0.95957,1.19748,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13297.9,1.48429,1.05504,1.17007,0.52163,0.71106,0.58425,0.36017,1.35907,0.95709,1.19721,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,13551.5,1.47951,1.05267,1.16861,0.52335,0.71067,0.58561,0.36132,1.35814,0.95441,1.19645,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,13805,1.47662,1.04765,1.16737,0.52244,0.71426,0.5864,0.36249,1.3562,0.95224,1.19456,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,14058.5,1.47405,1.04127,1.16628,0.52454,0.71529,0.58757,0.36323,1.35457,0.95078,1.19281,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,14311.9,1.47068,1.03978,1.16478,0.52521,0.72286,0.58761,0.36423,1.35309,0.94956,1.19175,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,14565.4,1.46626,1.03253,1.16116,0.52438,0.72775,0.5887,0.36505,1.3525,0.94777,1.19115,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,14818.7,1.46292,1.02864,1.1598,0.52644,0.72729,0.58918,0.36542,1.3511,0.94505,1.18991,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,15072.5,1.46256,1.02589,1.15806,0.52804,0.72775,0.59055,0.36627,1.34901,0.94253,1.18784,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,15325.8,1.45518,1.01705,1.15753,0.529,0.73053,0.5914,0.36778,1.34685,0.94146,1.18625,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,15579.3,1.45391,1.01372,1.15456,0.53068,0.73392,0.59275,0.36868,1.34502,0.9393,1.18477,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,15832.7,1.44875,1.00973,1.15335,0.53158,0.73473,0.59443,0.37003,1.34409,0.93714,1.1842,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,16086.1,1.44612,1.0032,1.15125,0.53337,0.73817,0.59502,0.37127,1.3434,0.93538,1.18364,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,16340.1,1.44323,1.00082,1.14981,0.53358,0.73854,0.59683,0.37222,1.34177,0.93337,1.18247,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,16593.6,1.44023,0.99742,1.14916,0.53698,0.74125,0.5985,0.37373,1.34067,0.93143,1.18137,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,16847.3,1.43524,0.99001,1.14408,0.54112,0.73812,0.59942,0.37476,1.3389,0.93005,1.18021,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,17100.5,1.43237,0.98596,1.14329,0.54531,0.74102,0.60134,0.37571,1.33713,0.92816,1.1792,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,17354.2,1.42994,0.97993,1.14096,0.5469,0.74186,0.60197,0.37627,1.33588,0.92554,1.17825,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,17607.3,1.42129,0.97443,1.13844,0.54722,0.74325,0.60273,0.37701,1.33448,0.92398,1.17704,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,17861,1.41991,0.97049,1.13848,0.54859,0.7415,0.60331,0.37783,1.33295,0.92259,1.17603,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,18114.3,1.41342,0.96465,1.13548,0.5493,0.74042,0.60443,0.37868,1.33128,0.92093,1.17485,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,18367.9,1.40912,0.96093,1.13219,0.54995,0.74139,0.60502,0.37891,1.32952,0.91862,1.17368,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,18621.3,1.40432,0.95507,1.13162,0.55112,0.74228,0.60599,0.3803,1.32781,0.91723,1.17274,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,18874.8,1.4036,0.94955,1.13032,0.55138,0.74418,0.60608,0.38073,1.32585,0.91599,1.17138,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,19128.2,1.40354,0.94791,1.12899,0.55501,0.74233,0.60706,0.38179,1.32415,0.91436,1.16992,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,19381.9,1.3973,0.94139,1.12559,0.55533,0.74434,0.60784,0.38249,1.32247,0.91265,1.16852,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,19635.5,1.39051,0.93685,1.12412,0.55714,0.74378,0.60861,0.3835,1.32026,0.91043,1.1665,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,19889.1,1.38635,0.93204,1.12168,0.55874,0.74277,0.6098,0.38419,1.31843,0.9084,1.16507,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,20142.7,1.38259,0.92642,1.11926,0.55623,0.74394,0.61029,0.38497,1.31699,0.90564,1.16391,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,20396.1,1.38048,0.92264,1.11855,0.55538,0.74752,0.61144,0.38576,1.31572,0.90359,1.16291,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,20657.9,1.37443,0.92021,1.11731,0.55678,0.7465,0.61226,0.38639,1.31439,0.90221,1.16184,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,20911.4,1.37154,0.91457,1.11606,0.55771,0.7458,0.6127,0.38717,1.31246,0.90012,1.16052,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,21164.7,1.36738,0.91235,1.11494,0.55961,0.7474,0.61376,0.38819,1.31084,0.89818,1.15905,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,21418.4,1.36306,0.90847,1.11291,0.56309,0.74648,0.61476,0.38901,1.30911,0.89593,1.15766,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,21672,1.35932,0.90288,1.11052,0.56139,0.74712,0.61559,0.39007,1.30776,0.89378,1.15665,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,21925.5,1.3559,0.89917,1.10951,0.56208,0.74688,0.6157,0.39071,1.30581,0.8911,1.15566,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,22179.1,1.35605,0.89732,1.10811,0.56199,0.74931,0.61672,0.39184,1.30419,0.8889,1.15467,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,22433,1.35099,0.89333,1.10796,0.56333,0.74929,0.61781,0.39278,1.30317,0.88653,1.15414,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,22686.4,1.35266,0.89198,1.10735,0.56241,0.75052,0.61779,0.39274,1.30219,0.88489,1.1534,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,22939.8,1.34767,0.8864,1.10484,0.56402,0.7515,0.61902,0.39362,1.30081,0.88264,1.15235,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,23191.2,1.33828,0.82465,1.10813,0.5663,0.74982,0.61992,0.39439,1.2994,0.88099,1.1512,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,23441.6,1.32572,0.81307,1.10439,0.56763,0.75014,0.62105,0.39543,1.29803,0.87927,1.15032,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,23692,1.32091,0.80734,1.10101,0.56922,0.75223,0.62167,0.39575,1.29616,0.87793,1.14898,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,23942.2,1.31739,0.80267,1.09969,0.57089,0.75458,0.62247,0.39668,1.29435,0.8762,1.14767,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,24192.6,1.31352,0.80067,1.09882,0.57166,0.7539,0.62301,0.39733,1.29283,0.87406,1.14661,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,24443.1,1.31353,0.79967,1.09875,0.5718,0.75889,0.62377,0.39759,1.29193,0.8722,1.14601,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,24693.3,1.3104,0.79673,1.09734,0.57274,0.76148,0.62471,0.39843,1.29062,0.8704,1.14504,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,24943.6,1.30917,0.79565,1.09599,0.57409,0.76006,0.62506,0.39888,1.28973,0.86904,1.14434,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,25195.1,1.30838,0.79404,1.0956,0.57528,0.76052,0.62563,0.39915,1.28891,0.86778,1.1438,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,25465.1,1.30598,0.79208,1.09433,0.57523,0.76189,0.62637,0.39986,1.28799,0.86626,1.14322,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
