epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.506,1.29929,1.45996,1.44963,0.53287,0.51971,0.52839,0.31205,1.36434,28.5735,1.35285,0.00033314,0.00033314,0.0670192
2,479.272,1.20661,1.30865,1.38224,0.63168,0.51228,0.5833,0.35108,1.31089,22.1842,1.3105,0.00066631,0.00066631,0.034019
3,717.017,1.18236,1.26387,1.3614,0.63386,0.5099,0.60241,0.37855,1.22482,22.5936,1.25135,0.00099883,0.00099883,0.00101821
4,953.489,1.15532,1.21812,1.34054,0.67058,0.52228,0.60186,0.38236,1.22946,20.7243,1.24868,0.000997803,0.000997803,0.000997803
5,1189.95,1.14587,1.20985,1.33625,0.6458,0.50681,0.60038,0.38489,1.19371,22.649,1.21712,0.000996097,0.000996097,0.000996097
6,1426.13,1.13321,1.18488,1.32557,0.61839,0.56652,0.62439,0.39424,1.19581,22.6177,1.2157,0.000993906,0.000993906,0.000993906
7,1662.38,1.12831,1.17585,1.32292,0.65386,0.5298,0.62097,0.39993,1.19164,21.4507,1.21811,0.000991232,0.000991232,0.000991232
8,1898.67,1.11692,1.15944,1.31438,0.67301,0.53353,0.62321,0.39977,1.18663,22.5474,1.21928,0.000988079,0.000988079,0.000988079
9,2134.86,1.11192,1.14788,1.31092,0.65567,0.53775,0.61567,0.39672,1.17248,21.7037,1.20611,0.000984449,0.000984449,0.000984449
10,2371.37,1.1064,1.14024,1.30338,0.68101,0.53793,0.62654,0.40496,1.163,21.5399,1.20026,0.000980345,0.000980345,0.000980345
11,2607.85,1.10201,1.12937,1.30363,0.66669,0.53965,0.62552,0.40366,1.17369,22.1692,1.2042,0.000975773,0.000975773,0.000975773
12,2844.06,1.09649,1.12473,1.29692,0.67053,0.53986,0.62969,0.41183,1.16515,22.5385,1.19712,0.000970736,0.000970736,0.000970736
13,3080.67,1.09329,1.11792,1.29497,0.6764,0.53911,0.62462,0.40958,1.156,22.0014,1.1915,0.000965239,0.000965239,0.000965239
