epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,181.963,0.78827,0.5517,1.06592,0.83913,0.88754,0.91996,0.59048,1.03715,1.52735,1.18311,0.00999334,0.00333111,0.00999334,0.00333111,0.00999334,0.00333111,0.00999334,0.00333111
2,340.53,0.82353,0.57634,1.08004,0.85727,0.8927,0.91685,0.57972,1.08052,1.71894,1.21095,0.0199885,0.00666282,0.0199885,0.00666282,0.0199885,0.00666282,0.0199885,0.00666282
3,491.51,0.90183,0.63735,1.11754,0.81505,0.90008,0.9068,0.54806,1.13364,1.9451,1.18992,0.029964,0.00998801,0.029964,0.00998801,0.029964,0.00998801,0.029964,0.00998801
4,639.699,0.99577,0.72357,1.1676,0.84113,0.8495,0.89464,0.52989,1.1911,1.80305,1.28022,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,787.714,1.0146,0.73366,1.17947,0.80132,0.84864,0.88349,0.54679,1.18609,1.95364,1.24933,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,935.805,1.02097,0.7362,1.17894,0.79939,0.87454,0.87534,0.54346,1.14644,1.72648,1.22756,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1083.95,1.02801,0.74892,1.19311,0.87433,0.8886,0.91365,0.55817,1.12809,1.63487,1.27114,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1232.18,1.01926,0.74397,1.18442,0.82147,0.84974,0.88131,0.53647,1.14896,2.07527,1.23427,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1380.27,1.01736,0.74613,1.18344,0.78515,0.89215,0.89472,0.56199,1.13059,1.89418,1.22968,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1528.38,1.02251,0.74487,1.18704,0.81785,0.87649,0.90113,0.56234,1.12373,2.20685,1.23094,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1676.48,1.01286,0.7359,1.17711,0.79606,0.88821,0.88975,0.55356,1.14512,1.84794,1.24359,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1824.83,1.01644,0.73011,1.17882,0.78956,0.90026,0.89001,0.54875,1.13033,1.9266,1.22844,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
